Netid State  Recv-Q Send-Q                                         Local Address:Port          Peer Address:Port  Process                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
u_str ESTAB  0      0                                                          * 8176                     * 8368   users:(("power-profiles-",pid=717,fd=2),("power-profiles-",pid=717,fd=1))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
u_str ESTAB  0      0                                                          * 24002                    * 24001  users:(("Web Content",pid=3663,fd=16))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
u_str ESTAB  0      0                                         /run/user/1000/bus 17551                    * 17054  users:(("dbus-daemon",pid=1849,fd=44))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
u_str LISTEN 0      128                            /run/user/1000/keyring/pkcs11 15535                    * 0      users:(("gnome-keyring-d",pid=1844,fd=9))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
u_str ESTAB  0      0                                                          * 15374                    * 15375  users:(("pipewire",pid=1840,fd=2),("pipewire",pid=1840,fd=1))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
u_str ESTAB  0      0                                /run/systemd/journal/stdout 9378                     * 9377   users:(("systemd-journal",pid=250,fd=27),("systemd",pid=1,fd=102))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
u_str ESTAB  0      0                                                          * 35359                    * 35360  users:(("dbus-daemon",pid=5925,fd=8))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
u_str ESTAB  0      0                                                          * 22727                    * 22728  users:(("firefox",pid=2906,fd=137))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
u_str ESTAB  0      0                                /run/systemd/journal/stdout 22382                    * 20225  users:(("systemd-journal",pid=250,fd=47),("systemd",pid=1,fd=225))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
u_str ESTAB  0      0                                                          * 17108                    * 17953  users:(("ibus-extension-",pid=2413,fd=3))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
u_str ESTAB  0      0                                                          * 15441                    * 15337  users:(("gnome-keyring-d",pid=1844,fd=6))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
u_str ESTAB  0      0                                /run/systemd/journal/stdout 251009                   * 250303 users:(("systemd-journal",pid=250,fd=54),("systemd",pid=1,fd=159))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
u_str ESTAB  0      0                                         @/tmp/.X11-unix/X1 18217                    * 17358  users:(("Xwayland",pid=2258,fd=9))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
u_str ESTAB  0      0                                /run/systemd/journal/stdout 15398                    * 15397  users:(("systemd-journal",pid=250,fd=85),("systemd",pid=1,fd=134))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
u_str ESTAB  0      0                                /run/systemd/journal/stdout 11948                    * 12913  users:(("systemd-journal",pid=250,fd=56),("systemd",pid=1,fd=122))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
u_str ESTAB  0      0                                /run/systemd/journal/stdout 8459                     * 9265   users:(("systemd-journal",pid=250,fd=32),("systemd",pid=1,fd=107))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
u_str ESTAB  0      0                                                          * 26078                    * 26079  users:(("nautilus",pid=4308,fd=28))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
u_str ESTAB  0      0                                                          * 18363                    * 18364  users:(("gnome-terminal-",pid=2757,fd=16))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
u_str ESTAB  0      0                                  /run/user/1000/at-spi/bus 16238                    * 16711  users:(("dbus-daemon",pid=2078,fd=12))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
u_str ESTAB  0      0                                                          * 23730                    * 23731  users:(("firefox",pid=2906,fd=114))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
u_str ESTAB  0      0                                                          * 20285                    * 20286  users:(("firefox",pid=2906,fd=14))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
u_str ESTAB  0      0                                         /run/user/1000/bus 17562                    * 17059  users:(("dbus-daemon",pid=1849,fd=47))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
u_str ESTAB  0      0                                /run/dbus/system_bus_socket 15337                    * 15441  users:(("dbus-daemon",pid=685,fd=48))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
u_str ESTAB  0      0                                /run/systemd/journal/stdout 35374                    * 34446  users:(("systemd-journal",pid=250,fd=61),("systemd",pid=1,fd=235))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
u_str ESTAB  0      0                                                          * 22728                    * 22727  users:(("Isolated Web Co",pid=3313,fd=16))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
u_str ESTAB  0      0                                                          * 17310                    * 18140  users:(("gjs",pid=2614,fd=7))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
u_str ESTAB  0      0                                                          * 17103                    * 17698  users:(("gvfs-udisks2-vo",pid=2379,fd=8))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
u_str ESTAB  0      0                                                          * 8867                     * 9617   users:(("ModemManager",pid=933,fd=1))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
u_str ESTAB  0      0                                /run/dbus/system_bus_socket 26066                    * 26065  users:(("dbus-daemon",pid=685,fd=31))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
u_str ESTAB  0      0                                   /run/user/1000/wayland-0 18517                    * 18355  users:(("gnome-shell",pid=2065,fd=107),("gnome-shell",pid=2065,fd=106))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
u_str ESTAB  0      0                       /run/user/1000/gvfsd/socket-WYNlbZPV 17992                    * 17283  users:(("gvfsd-trash",pid=2547,fd=16))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
u_str ESTAB  0      0                                /run/systemd/journal/stdout 8368                     * 8176   users:(("systemd-journal",pid=250,fd=26),("systemd",pid=1,fd=111))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
u_str ESTAB  0      0                                                          * 250303                   * 251009 users:(("systemd-hostnam",pid=134412,fd=2),("systemd-hostnam",pid=134412,fd=1))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
u_str ESTAB  0      0                                                          * 23782                    * 23783  users:(("firefox",pid=2906,fd=141))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
u_str ESTAB  0      0                                                          * 18254                    * 18433  users:(("mutter-x11-fram",pid=2682,fd=3))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
u_str ESTAB  0      0                                         /run/user/1000/bus 17555                    * 17058  users:(("dbus-daemon",pid=1849,fd=46))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
u_str ESTAB  0      0                                                          * 13636                    * 13637  users:(("upowerd",pid=1485,fd=2),("upowerd",pid=1485,fd=1))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
u_str ESTAB  0      0                                /run/dbus/system_bus_socket 12229                    * 12228  users:(("dbus-daemon",pid=685,fd=43))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
u_str ESTAB  0      0                                /run/systemd/journal/stdout 8554                     * 9319   users:(("systemd-journal",pid=250,fd=35),("systemd",pid=1,fd=104))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
u_str ESTAB  0      768                                       /run/user/1000/bus 18510                    * 18509  users:(("dbus-daemon",pid=1849,fd=86))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
u_str ESTAB  0      0                                                          * 17104                    * 17700  users:(("evolution-calen",pid=2411,fd=5))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
u_str ESTAB  0      0                                                          * 15449                    * 15450  users:(("pipewire-pulse",pid=1843,fd=2),("pipewire-pulse",pid=1843,fd=1))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
u_str ESTAB  0      0                                                          * 13407                    * 14375  users:(("colord",pid=1437,fd=2),("colord",pid=1437,fd=1))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
u_str ESTAB  0      768                                       /run/user/1000/bus 18519                    * 18358  users:(("dbus-daemon",pid=1849,fd=89))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
u_str ESTAB  0      0                                /run/dbus/system_bus_socket 18451                    * 18450  users:(("dbus-daemon",pid=685,fd=51))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
u_str ESTAB  0      0                                                          * 22533                    * 22532  users:(("Socket Process",pid=3060,fd=15))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
u_str ESTAB  0      0                                                          * 17407                    * 17406  users:(("xdg-desktop-por",pid=2678,fd=7))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
u_str ESTAB  0      0                                                          * 9393                     * 9394   users:(("rsyslogd",pid=811,fd=2))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
u_seq ESTAB  0      0                                                          * 20279                    * 20280  users:(("Web Content",pid=3838,fd=17),("Web Content",pid=3668,fd=17),("Web Content",pid=3663,fd=17),("Utility Process",pid=3655,fd=16),("Isolated Web Co",pid=3313,fd=17),("WebExtensions",pid=3292,fd=17),("RDD Process",pid=3106,fd=16),("Privileged Cont",pid=3095,fd=17),("Socket Process",pid=3060,fd=16),("crashhelper",pid=2976,fd=8),("firefox",pid=2906,fd=8))                                                                                                                                                                                                                                                                                                                                                                                                        
u_str ESTAB  0      0                                                          * 18488                    * 18309  users:(("xdg-desktop-por",pid=2658,fd=18))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
u_str ESTAB  0      0                                   /run/user/1000/wayland-0 17910                    * 17055  users:(("gnome-shell",pid=2065,fd=84),("gnome-shell",pid=2065,fd=83))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
u_str ESTAB  0      0                                         /run/user/1000/bus 15479                    * 15477  users:(("dbus-daemon",pid=1849,fd=10))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
