COMMAND      PID                 USER   FD   TYPE             DEVICE SIZE/OFF   NODE NAME
systemd-j    250                 root   14u  unix 0xffff8df683ba0c00      0t0   4369 type=DGRAM (CONNECTED)
systemd-j    250                 root   17u  unix 0xffff8df581238800      0t0  34319 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    250                 root   18u  unix 0xffff8df680096800      0t0   4753 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    250                 root   19u  unix 0xffff8df680095400      0t0   8251 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    250                 root   20u  unix 0xffff8df681c2b800      0t0   5564 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    250                 root   21u  unix 0xffff8df681c2a800      0t0   5690 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    250                 root   22u  unix 0xffff8df68b883800      0t0  12059 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    250                 root   23u  unix 0xffff8df68adaa000      0t0   8291 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    250                 root   25u  unix 0xffff8df5c8ba0400      0t0  18130 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    250                 root   26u  unix 0xffff8df68c5e8c00      0t0   8368 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    250                 root   27u  unix 0xffff8df68bdf0c00      0t0   9378 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    250                 root   28u  unix 0xffff8df5b4a4c400      0t0  17545 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    250                 root   29u  unix 0xffff8df68c5ea000      0t0   8396 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    250                 root   30u  unix 0xffff8df68ada9000      0t0   8414 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    250                 root   31u  unix 0xffff8df68c5eb400      0t0   8458 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    250                 root   32u  unix 0xffff8df68c5e8800      0t0   8459 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    250                 root   33u  unix 0xffff8df68ca33800      0t0   8526 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    250                 root   34u  unix 0xffff8df68bdf2000      0t0   8529 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    250                 root   35u  unix 0xffff8df68bdf3400      0t0   8554 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    250                 root   36u  unix 0xffff8df59e417c00      0t0  15059 /run/systemd/journal/stdout type=STREAM (CONNECTED)
