total 0
dr-x------ 2 root root 248 Nov 20 03:38 .
dr-xr-xr-x 9 root root   0 Nov 20 03:38 ..
lrwx------ 1 root root  64 Nov 23 12:18 229 -> socket:[25972]
lrwx------ 1 root root  64 Nov 23 12:18 23 -> socket:[4279]
lrwx------ 1 root root  64 Nov 23 12:18 231 -> socket:[34319]
lrwx------ 1 root root  64 Nov 23 12:18 232 -> socket:[35286]
lrwx------ 1 root root  64 Nov 23 12:18 233 -> socket:[35339]
lrwx------ 1 root root  64 Nov 23 12:18 234 -> socket:[35371]
lrwx------ 1 root root  64 Nov 23 12:17 235 -> socket:[35374]
lrwx------ 1 root root  64 Nov 23 12:18 239 -> socket:[7962]
lrwx------ 1 root root  64 Nov 20 03:38 24 -> anon_inode:[pidfd]
lrwx------ 1 root root  64 Nov 23 12:18 240 -> socket:[7963]
lrwx------ 1 root root  64 Nov 23 12:18 241 -> anon_inode:[pidfd]
lrwx------ 1 root root  64 Nov 23 12:18 242 -> anon_inode:[pidfd]
lrwx------ 1 root root  64 Nov 23 12:18 244 -> anon_inode:[pidfd]
lrwx------ 1 root root  64 Nov 23 12:18 245 -> anon_inode:[pidfd]
lrwx------ 1 root root  64 Nov 23 12:18 247 -> socket:[7961]
lrwx------ 1 root root  64 Nov 23 12:18 248 -> anon_inode:[pidfd]
lr-x------ 1 root root  64 Nov 23 12:18 249 -> pipe:[4290]
lrwx------ 1 root root  64 Nov 23 12:18 25 -> anon_inode:[pidfd]
lrwx------ 1 root root  64 Nov 23 12:18 250 -> anon_inode:[pidfd]
lrwx------ 1 root root  64 Nov 23 12:18 253 -> anon_inode:[pidfd]
lrwx------ 1 root root  64 Nov 23 12:18 254 -> /dev/dri/card0
lrwx------ 1 root root  64 Nov 23 12:18 255 -> /dev/input/event0
lrwx------ 1 root root  64 Nov 23 12:18 256 -> /dev/input/event1
lrwx------ 1 root root  64 Nov 23 12:18 257 -> /dev/input/event3
lrwx------ 1 root root  64 Nov 23 12:18 258 -> /dev/input/event6
lrwx------ 1 root root  64 Nov 23 12:18 259 -> /dev/input/event5
lrwx------ 1 root root  64 Nov 23 12:18 26 -> anon_inode:[pidfd]
lrwx------ 1 root root  64 Nov 23 12:18 260 -> /dev/input/event2
lrwx------ 1 root root  64 Nov 23 12:18 261 -> /dev/input/event4
lrwx------ 1 root root  64 Nov 23 12:18 265 -> socket:[4294]
lrwx------ 1 root root  64 Nov 23 12:18 266 -> anon_inode:[pidfd]
lrwx------ 1 root root  64 Nov 23 12:18 268 -> anon_inode:[pidfd]
lrwx------ 1 root root  64 Nov 23 12:18 269 -> anon_inode:[pidfd]
lrwx------ 1 root root  64 Nov 23 12:18 27 -> anon_inode:[pidfd]
lrwx------ 1 root root  64 Nov 23 12:18 271 -> socket:[4306]
lrwx------ 1 root root  64 Nov 23 12:18 272 -> anon_inode:[pidfd]
lrwx------ 1 root root  64 Nov 23 12:18 276 -> socket:[4296]
lrwx------ 1 root root  64 Nov 23 12:18 277 -> anon_inode:[pidfd]
lrwx------ 1 root root  64 Nov 23 12:18 278 -> anon_inode:[pidfd]
lrwx------ 1 root root  64 Nov 23 12:18 279 -> anon_inode:[pidfd]
lrwx------ 1 root root  64 Nov 23 12:18 28 -> socket:[4284]
lrwx------ 1 root root  64 Nov 23 12:18 280 -> anon_inode:[pidfd]
lrwx------ 1 root root  64 Nov 23 12:18 281 -> anon_inode:[pidfd]
lrwx------ 1 root root  64 Nov 23 12:18 282 -> socket:[4298]
lrwx------ 1 root root  64 Nov 23 12:18 285 -> socket:[4300]
lr-x------ 1 root root  64 Nov 23 12:16 29 -> anon_inode:inotify
l-wx------ 1 root root  64 Nov 20 03:38 3 -> /dev/kmsg
lr-x------ 1 root root  64 Nov 20 03:38 30 -> /dev/autofs
lrwx------ 1 root root  64 Nov 23 12:16 31 -> anon_inode:[pidfd]
lrwx------ 1 root root  64 Nov 23 12:16 32 -> anon_inode:[pidfd]
lrwx------ 1 root root  64 Nov 20 03:38 33 -> anon_inode:[pidfd]
lrwx------ 1 root root  64 Nov 20 03:38 34 -> anon_inode:[pidfd]
lr-x------ 1 root root  64 Nov 23 12:18 35 -> anon_inode:inotify
lrwx------ 1 root root  64 Nov 20 03:38 36 -> anon_inode:[pidfd]
lrwx------ 1 root root  64 Nov 20 03:38 37 -> anon_inode:[pidfd]
lrwx------ 1 root root  64 Nov 23 13:35 371 -> anon_inode:[pidfd]
lrwx------ 1 root root  64 Nov 23 13:35 378 -> socket:[7960]
lrwx------ 1 root root  64 Nov 20 03:38 38 -> anon_inode:[pidfd]
lrwx------ 1 root root  64 Nov 23 13:35 381 -> socket:[7968]
lrwx------ 1 root root  64 Nov 20 03:38 39 -> anon_inode:[pidfd]
lrwx------ 1 root root  64 Nov 23 13:35 395 -> /run/initctl
lrwx------ 1 root root  64 Nov 23 13:35 396 -> anon_inode:[pidfd]
lrwx------ 1 root root  64 Nov 23 13:35 397 -> anon_inode:[pidfd]
lrwx------ 1 root root  64 Nov 20 03:38 4 -> anon_inode:[eventpoll]
lr-x------ 1 root root  64 Nov 20 03:38 40 -> anon_inode:inotify
lrwx------ 1 root root  64 Nov 23 13:35 400 -> socket:[4293]
lrwx------ 1 root root  64 Nov 23 13:35 403 -> anon_inode:[pidfd]
lrwx------ 1 root root  64 Nov 23 13:35 408 -> anon_inode:[pidfd]
lrwx------ 1 root root  64 Nov 23 12:18 41 -> anon_inode:[timerfd]
lrwx------ 1 root root  64 Nov 23 13:35 418 -> socket:[4304]
lrwx------ 1 root root  64 Nov 23 13:35 419 -> anon_inode:[pidfd]
lrwx------ 1 root root  64 Nov 20 03:38 42 -> anon_inode:[pidfd]
lrwx------ 1 root root  64 Nov 23 13:35 427 -> anon_inode:[pidfd]
lrwx------ 1 root root  64 Nov 23 13:35 428 -> anon_inode:[pidfd]
lrwx------ 1 root root  64 Nov 20 03:38 43 -> anon_inode:[pidfd]
lrwx------ 1 root root  64 Nov 20 03:38 44 -> anon_inode:[timerfd]
lrwx------ 1 root root  64 Nov 20 03:38 45 -> anon_inode:[pidfd]
lrwx------ 1 root root  64 Nov 23 12:18 46 -> socket:[36726]
lrwx------ 1 root root  64 Nov 23 12:18 48 -> socket:[4273]
lrwx------ 1 root root  64 Nov 23 12:18 49 -> socket:[6090]
lrwx------ 1 root root  64 Nov 23 12:18 5 -> anon_inode:[signalfd]
lrwx------ 1 root root  64 Nov 23 12:18 50 -> socket:[4274]
lrwx------ 1 root root  64 Nov 23 12:18 54 -> anon_inode:[pidfd]
lrwx------ 1 root root  64 Nov 23 12:18 55 -> anon_inode:[pidfd]
lrwx------ 1 root root  64 Nov 23 12:18 56 -> anon_inode:[pidfd]
lrwx------ 1 root root  64 Nov 23 12:18 57 -> anon_inode:[pidfd]
lrwx------ 1 root root  64 Nov 20 03:38 58 -> anon_inode:[pidfd]
lrwx------ 1 root root  64 Nov 20 03:38 59 -> anon_inode:[pidfd]
lr-x------ 1 root root  64 Nov 23 12:18 6 -> anon_inode:inotify
