74378e45e000-74378e462000 r--p 0015e000 08:02 917643                     /usr/lib/x86_64-linux-gnu/libsqlite3.so.0.8.6
74378e462000-74378e466000 rw-p 00162000 08:02 917643                     /usr/lib/x86_64-linux-gnu/libsqlite3.so.0.8.6
74378e466000-74378e467000 rw-p 00000000 00:00 0 
74378e46a000-74378e46d000 r--p 00000000 08:02 1315719                    /usr/lib/php/20230831/posix.so
74378e46d000-74378e472000 r-xp 00003000 08:02 1315719                    /usr/lib/php/20230831/posix.so
74378e472000-74378e474000 r--p 00008000 08:02 1315719                    /usr/lib/php/20230831/posix.so
74378e474000-74378e476000 r--p 00009000 08:02 1315719                    /usr/lib/php/20230831/posix.so
74378e476000-74378e477000 rw-p 0000b000 08:02 1315719                    /usr/lib/php/20230831/posix.so
74378e4a0000-74378e4a9000 r--p 00000000 08:02 1315814                    /usr/lib/php/20230831/mysqli.so
74378e4a9000-74378e4bc000 r-xp 00009000 08:02 1315814                    /usr/lib/php/20230831/mysqli.so
74378e4bc000-74378e4c2000 r--p 0001c000 08:02 1315814                    /usr/lib/php/20230831/mysqli.so
74378e4c2000-74378e4c7000 r--p 00022000 08:02 1315814                    /usr/lib/php/20230831/mysqli.so
74378e4c7000-74378e4c8000 rw-p 00027000 08:02 1315814                    /usr/lib/php/20230831/mysqli.so
74378e4c8000-74378e4d6000 r--p 00000000 08:02 929396                     /usr/lib/x86_64-linux-gnu/libonig.so.5.4.0
74378e4d6000-74378e502000 r-xp 0000e000 08:02 929396                     /usr/lib/x86_64-linux-gnu/libonig.so.5.4.0
74378e502000-74378e556000 r--p 0003a000 08:02 929396                     /usr/lib/x86_64-linux-gnu/libonig.so.5.4.0
74378e556000-74378e558000 r--p 0008d000 08:02 929396                     /usr/lib/x86_64-linux-gnu/libonig.so.5.4.0
74378e558000-74378e55f000 rw-p 0008f000 08:02 929396                     /usr/lib/x86_64-linux-gnu/libonig.so.5.4.0
74378e55f000-74378e561000 r--p 00000000 08:02 1315720                    /usr/lib/php/20230831/shmop.so
74378e561000-74378e562000 r-xp 00002000 08:02 1315720                    /usr/lib/php/20230831/shmop.so
74378e562000-74378e563000 r--p 00003000 08:02 1315720                    /usr/lib/php/20230831/shmop.so
74378e563000-74378e564000 r--p 00003000 08:02 1315720                    /usr/lib/php/20230831/shmop.so
74378e564000-74378e565000 rw-p 00004000 08:02 1315720                    /usr/lib/php/20230831/shmop.so
74378e565000-74378e568000 r--p 00000000 08:02 1314013                    /usr/lib/php/20230831/pdo_sqlite.so
74378e568000-74378e56c000 r-xp 00003000 08:02 1314013                    /usr/lib/php/20230831/pdo_sqlite.so
74378e56c000-74378e56d000 r--p 00007000 08:02 1314013                    /usr/lib/php/20230831/pdo_sqlite.so
74378e56d000-74378e56e000 r--p 00008000 08:02 1314013                    /usr/lib/php/20230831/pdo_sqlite.so
74378e56e000-74378e56f000 rw-p 00009000 08:02 1314013                    /usr/lib/php/20230831/pdo_sqlite.so
74378e56f000-74378e580000 r--p 00000000 08:02 1315807                    /usr/lib/php/20230831/mbstring.so
74378e580000-74378e5c6000 r-xp 00011000 08:02 1315807                    /usr/lib/php/20230831/mbstring.so
74378e5c6000-74378e68c000 r--p 00057000 08:02 1315807                    /usr/lib/php/20230831/mbstring.so
74378e68c000-74378e695000 r--p 0011d000 08:02 1315807                    /usr/lib/php/20230831/mbstring.so
74378e695000-74378e696000 rw-p 00126000 08:02 1315807                    /usr/lib/php/20230831/mbstring.so
74378e696000-74378e699000 r--p 00000000 08:02 1315716                    /usr/lib/php/20230831/iconv.so
74378e699000-74378e6a0000 r-xp 00003000 08:02 1315716                    /usr/lib/php/20230831/iconv.so
74378e6a0000-74378e6a2000 r--p 0000a000 08:02 1315716                    /usr/lib/php/20230831/iconv.so
74378e6a2000-74378e6a3000 r--p 0000b000 08:02 1315716                    /usr/lib/php/20230831/iconv.so
74378e6a3000-74378e6a4000 rw-p 0000c000 08:02 1315716                    /usr/lib/php/20230831/iconv.so
74378e6a4000-74378e6a6000 r--p 00000000 08:02 929320                     /usr/lib/x86_64-linux-gnu/libmd.so.0.1.0
74378e6a6000-74378e6af000 r-xp 00002000 08:02 929320                     /usr/lib/x86_64-linux-gnu/libmd.so.0.1.0
74378e6af000-74378e6b1000 r--p 0000b000 08:02 929320                     /usr/lib/x86_64-linux-gnu/libmd.so.0.1.0
74378e6b1000-74378e6b2000 r--p 0000c000 08:02 929320                     /usr/lib/x86_64-linux-gnu/libmd.so.0.1.0
74378e6b2000-74378e6b3000 rw-p 0000d000 08:02 929320                     /usr/lib/x86_64-linux-gnu/libmd.so.0.1.0
74378e6b3000-74378e6b7000 r--p 00000000 08:02 929000                     /usr/lib/x86_64-linux-gnu/libbsd.so.0.12.1
74378e6b7000-74378e6c3000 r-xp 00004000 08:02 929000                     /usr/lib/x86_64-linux-gnu/libbsd.so.0.12.1
74378e6c3000-74378e6c6000 r--p 00010000 08:02 929000                     /usr/lib/x86_64-linux-gnu/libbsd.so.0.12.1
74378e6c6000-74378e6c7000 r--p 00012000 08:02 929000                     /usr/lib/x86_64-linux-gnu/libbsd.so.0.12.1
74378e6c7000-74378e6c8000 rw-p 00013000 08:02 929000                     /usr/lib/x86_64-linux-gnu/libbsd.so.0.12.1
74378e6c8000-74378e6c9000 rw-p 00000000 00:00 0 
74378e6c9000-74378e6cb000 r--p 00000000 08:02 928858                     /usr/lib/x86_64-linux-gnu/libXdmcp.so.6.0.0
74378e6cb000-74378e6cd000 r-xp 00002000 08:02 928858                     /usr/lib/x86_64-linux-gnu/libXdmcp.so.6.0.0
74378e6cd000-74378e6cf000 r--p 00004000 08:02 928858                     /usr/lib/x86_64-linux-gnu/libXdmcp.so.6.0.0
74378e6cf000-74378e6d0000 r--p 00005000 08:02 928858                     /usr/lib/x86_64-linux-gnu/libXdmcp.so.6.0.0
74378e6d0000-74378e6d1000 rw-p 00006000 08:02 928858                     /usr/lib/x86_64-linux-gnu/libXdmcp.so.6.0.0
74378e6d1000-74378e6dc000 r--p 00000000 08:02 929648                     /usr/lib/x86_64-linux-gnu/libxcb.so.1.1.0
74378e6dc000-74378e6ef000 r-xp 0000b000 08:02 929648                     /usr/lib/x86_64-linux-gnu/libxcb.so.1.1.0
74378e6ef000-74378e6f8000 r--p 0001e000 08:02 929648                     /usr/lib/x86_64-linux-gnu/libxcb.so.1.1.0
74378e6f8000-74378e6f9000 r--p 00026000 08:02 929648                     /usr/lib/x86_64-linux-gnu/libxcb.so.1.1.0
74378e6f9000-74378e6fa000 rw-p 00027000 08:02 929648                     /usr/lib/x86_64-linux-gnu/libxcb.so.1.1.0
74378e6fa000-74378e6fb000 r--p 00000000 08:02 929499                     /usr/lib/x86_64-linux-gnu/libsharpyuv.so.0.0.1
74378e6fb000-74378e6fe000 r-xp 00001000 08:02 929499                     /usr/lib/x86_64-linux-gnu/libsharpyuv.so.0.0.1
74378e6fe000-74378e6ff000 r--p 00004000 08:02 929499                     /usr/lib/x86_64-linux-gnu/libsharpyuv.so.0.0.1
74378e6ff000-74378e700000 r--p 00004000 08:02 929499                     /usr/lib/x86_64-linux-gnu/libsharpyuv.so.0.0.1
74378e700000-74378e701000 rw-p 00005000 08:02 929499                     /usr/lib/x86_64-linux-gnu/libsharpyuv.so.0.0.1
74378e701000-74378e702000 rw-p 00000000 00:00 0 
74378e702000-74378e703000 r--p 00000000 08:02 929058                     /usr/lib/x86_64-linux-gnu/libdeflate.so.0
74378e703000-74378e70f000 r-xp 00001000 08:02 929058                     /usr/lib/x86_64-linux-gnu/libdeflate.so.0
74378e70f000-74378e713000 r--p 0000d000 08:02 929058                     /usr/lib/x86_64-linux-gnu/libdeflate.so.0
74378e713000-74378e714000 r--p 00011000 08:02 929058                     /usr/lib/x86_64-linux-gnu/libdeflate.so.0
74378e714000-74378e715000 rw-p 00012000 08:02 929058                     /usr/lib/x86_64-linux-gnu/libdeflate.so.0
74378e715000-74378e717000 r--p 00000000 08:02 929278                     /usr/lib/x86_64-linux-gnu/libjbig.so.0
74378e717000-74378e720000 r-xp 00002000 08:02 929278                     /usr/lib/x86_64-linux-gnu/libjbig.so.0
74378e720000-74378e721000 r--p 0000b000 08:02 929278                     /usr/lib/x86_64-linux-gnu/libjbig.so.0
74378e721000-74378e722000 r--p 0000c000 08:02 929278                     /usr/lib/x86_64-linux-gnu/libjbig.so.0
74378e722000-74378e725000 rw-p 0000d000 08:02 929278                     /usr/lib/x86_64-linux-gnu/libjbig.so.0
74378e725000-74378e72a000 r--p 00000000 08:02 928844                     /usr/lib/x86_64-linux-gnu/libLerc.so.4
74378e72a000-74378e7a2000 r-xp 00005000 08:02 928844                     /usr/lib/x86_64-linux-gnu/libLerc.so.4
74378e7a2000-74378e7aa000 r--p 0007d000 08:02 928844                     /usr/lib/x86_64-linux-gnu/libLerc.so.4
74378e7aa000-74378e7ab000 r--p 00084000 08:02 928844                     /usr/lib/x86_64-linux-gnu/libLerc.so.4
74378e7ab000-74378e7ac000 rw-p 00085000 08:02 928844                     /usr/lib/x86_64-linux-gnu/libLerc.so.4
74378e7ac000-74378e7c5000 r--p 00000000 08:02 928851                     /usr/lib/x86_64-linux-gnu/libX11.so.6.4.0
74378e7c5000-74378e855000 r-xp 00019000 08:02 928851                     /usr/lib/x86_64-linux-gnu/libX11.so.6.4.0
74378e855000-74378e8e4000 r--p 000a9000 08:02 928851                     /usr/lib/x86_64-linux-gnu/libX11.so.6.4.0
74378e8e4000-74378e8e5000 r--p 00138000 08:02 928851                     /usr/lib/x86_64-linux-gnu/libX11.so.6.4.0
74378e8e5000-74378e8e9000 rw-p 00139000 08:02 928851                     /usr/lib/x86_64-linux-gnu/libX11.so.6.4.0
74378e8e9000-74378e8fd000 r--p 00000000 08:02 929232                     /usr/lib/x86_64-linux-gnu/libheif.so.1.17.6
74378e8fd000-74378e985000 r-xp 00014000 08:02 929232                     /usr/lib/x86_64-linux-gnu/libheif.so.1.17.6
74378e985000-74378e9a3000 r--p 0009c000 08:02 929232                     /usr/lib/x86_64-linux-gnu/libheif.so.1.17.6
74378e9a3000-74378e9a8000 r--p 000ba000 08:02 929232                     /usr/lib/x86_64-linux-gnu/libheif.so.1.17.6
74378e9a8000-74378e9a9000 rw-p 000bf000 08:02 929232                     /usr/lib/x86_64-linux-gnu/libheif.so.1.17.6
74378e9a9000-74378e9ac000 r--p 00000000 08:02 929613                     /usr/lib/x86_64-linux-gnu/libwebp.so.7.1.8
74378e9ac000-74378ea0c000 r-xp 00003000 08:02 929613                     /usr/lib/x86_64-linux-gnu/libwebp.so.7.1.8
74378ea0c000-74378ea21000 r--p 00063000 08:02 929613                     /usr/lib/x86_64-linux-gnu/libwebp.so.7.1.8
74378ea21000-74378ea22000 r--p 00077000 08:02 929613                     /usr/lib/x86_64-linux-gnu/libwebp.so.7.1.8
74378ea22000-74378ea23000 rw-p 00078000 08:02 929613                     /usr/lib/x86_64-linux-gnu/libwebp.so.7.1.8
74378ea23000-74378ea24000 rw-p 00000000 00:00 0 
74378ea24000-74378ea2c000 r--p 00000000 08:02 927593                     /usr/lib/x86_64-linux-gnu/libtiff.so.6.0.1
74378ea2c000-74378ea7c000 r-xp 00008000 08:02 927593                     /usr/lib/x86_64-linux-gnu/libtiff.so.6.0.1
74378ea7c000-74378eaab000 r--p 00058000 08:02 927593                     /usr/lib/x86_64-linux-gnu/libtiff.so.6.0.1
74378eaab000-74378eab0000 r--p 00087000 08:02 927593                     /usr/lib/x86_64-linux-gnu/libtiff.so.6.0.1
74378eab0000-74378eab1000 rw-p 0008c000 08:02 927593                     /usr/lib/x86_64-linux-gnu/libtiff.so.6.0.1
74378eab1000-74378eab5000 r--p 00000000 08:02 929281                     /usr/lib/x86_64-linux-gnu/libjpeg.so.8.2.2
74378eab5000-74378eb02000 r-xp 00004000 08:02 929281                     /usr/lib/x86_64-linux-gnu/libjpeg.so.8.2.2
74378eb02000-74378eb32000 r--p 00051000 08:02 929281                     /usr/lib/x86_64-linux-gnu/libjpeg.so.8.2.2
74378eb32000-74378eb33000 r--p 00081000 08:02 929281                     /usr/lib/x86_64-linux-gnu/libjpeg.so.8.2.2
74378eb33000-74378eb34000 rw-p 00082000 08:02 929281                     /usr/lib/x86_64-linux-gnu/libjpeg.so.8.2.2
74378eb34000-74378eb41000 r--p 00000000 08:02 929127                     /usr/lib/x86_64-linux-gnu/libfreetype.so.6.20.1
74378eb41000-74378ebd2000 r-xp 0000d000 08:02 929127                     /usr/lib/x86_64-linux-gnu/libfreetype.so.6.20.1
74378ebd2000-74378ebf8000 r--p 0009e000 08:02 929127                     /usr/lib/x86_64-linux-gnu/libfreetype.so.6.20.1
74378ebf8000-74378ebff000 r--p 000c4000 08:02 929127                     /usr/lib/x86_64-linux-gnu/libfreetype.so.6.20.1
74378ebff000-74378ec00000 rw-p 000cb000 08:02 929127                     /usr/lib/x86_64-linux-gnu/libfreetype.so.6.20.1
74378ec00000-74378ec04000 r--p 00000000 08:02 1315713                    /usr/lib/php/20230831/fileinfo.so
74378ec04000-74378ec19000 r-xp 00004000 08:02 1315713                    /usr/lib/php/20230831/fileinfo.so
74378ec19000-74378f3b6000 r--p 00019000 08:02 1315713                    /usr/lib/php/20230831/fileinfo.so
74378f3b6000-74378f3b8000 r--p 007b5000 08:02 1315713                    /usr/lib/php/20230831/fileinfo.so
74378f3b8000-74378f3b9000 rw-p 007b7000 08:02 1315713                    /usr/lib/php/20230831/fileinfo.so
74378f3ba000-74378f3bc000 r--p 00000000 08:02 929002                     /usr/lib/x86_64-linux-gnu/libbz2.so.1.0.4
74378f3bc000-74378f3ca000 r-xp 00002000 08:02 929002                     /usr/lib/x86_64-linux-gnu/libbz2.so.1.0.4
74378f3ca000-74378f3cc000 r--p 00010000 08:02 929002                     /usr/lib/x86_64-linux-gnu/libbz2.so.1.0.4
